"Example_ID","Language_ID","Sentence","Segmentation","Gloss","Translation","Source","Orig_Segmentation","Orig_Glossing","Orig_Translation","Comment","Morpheme_IDs"
"apa-14","apal1257","koiʔ kaʃi-ko, a-Ṽko aisore ʔm-a j-a","koiʔ kaʃi-ko, a-Ṽko aisore ʔm-a j-a","paddle do-IMP say-CONT A. 3-be 1-OBL","“Paddle”, Aisore was saying to me.","koehn1986apalai[35]","","","","","X X-X X-X X X-X X-X"
"apa-15","apal1257","poeto me eʃi-ne kama-kuao","poeto me eʃi-ne kama-kuao","child PST 1.be-REM Kama.creek-LOC","I was a child at Kama creek.","koehn1986apalai[36]","","","","","X X X-X X-X"
"apa-16","apal1257","morara oʃimome toʔ kɨn-eʃi-ne","morara oʃimome toʔ kɨn-eʃi-ne","like.that together 3PL 3-be-REM","(The trees) were close together.","koehn1986apalai[36]","","","","","X X X X-X-X"
"apa-17","apal1257","moroto ɨna tapɨi-Ṽ kɨn-eʃi-ne","moroto ɨna tapɨi-Ṽ kɨn-eʃi-ne","there 1+3 house-PERT 3-be-REM","There was our house.","koehn1986apalai[36]","","","","","X X X-X X-X-X"
"apa-18","apal1257","aimo pɨno mana","aimo pɨno mana","boy care.for 3.be.PRS","He cares for the boy.","koehn1986apalai[36]","","","","","X X X"
"apa-19","apal1257","mokɨro ituakɨrɨ","mokɨro ituakɨrɨ","MED.DEM.SG.ANIM jungle.person","That man (is) a jungle person.","koehn1986apalai[36]","","","","","X X"
"apa-20","apal1257","a-ɨto-rɨ moro","a-ɨto-rɨ moro","3-go-NMLZ MED.DEM.SG.INAN","He was going.","koehn1986apalai[36]","","","","","X-X-X X"
"apa-21","apal1257","ɨ̃kaponato a-orɨʃi-rɨ","ɨ̃kaponato a-orɨʃi-rɨ","the.next.one 3-sister-PERT","His sister was the next one (born).","koehn1986apalai[36]","","","","","X X-X-X"
"apa-22","apal1257","ɨ-pɨre ekaro-ase ej-a","ɨ-pɨre ekaro-ase ej-a","1-gun.POSS 1.give-REC 3-OBL","I gave my gun to him.","koehn1986apalai[36]","","","","","X-X X-X X-X"
"apa-23","apal1257","mokɨ ene-kose aporo, n-ɨka-Ṽ toto papa a","mokɨ ene-kose aporo, n-ɨka-Ṽ toto papa a","DIST.DEM.SG.ANIM look-IMP briefly 3-say-IMM 3PL father OBL","“There he is, look at him”, they said to father.","koehn1986apalai[37]","","","","","X X-X X X-X-X X X X"
"apa-24","apal1257","mame oepɨ-ase ituʔ-taka","mame oepɨ-ase ituʔ-taka","then 1.come-REC forest-ALL","Then I came to the woods.","koehn1986apalai[37]","","","","","X X-X X-X"
"apa-25","apal1257","mame t-oɨto-se ropa t-umɨ a","mame t-oɨto-se ropa t-umɨ a","then CPL-go-CPL again COR-father.POSS OBL","Then he went back to his father.","koehn1986apalai[37]","","","","","X X-X-X X X-X X"
"apa-26","apal1257","j-eneʔ-ne toto taro-na","j-eneʔ-ne toto taro-na","3>1-bring-REM 3PL here-ALL","They brought me here.","koehn1986apalai[37]","","","","","X-X-X X X-X"
"apa-28","apal1257","mame kokoro ɨto-Ṽko ase kana anɨ̃-se","mame kokoro ɨto-Ṽko ase kana anɨ̃-se","then tomorrow go-CONT 1.be.PRS fish lift.up-SUP","Then tomorrow I'm going to catch fish.","koehn1986apalai[37]","","","","","X X X-X X X X-X"
"apa-29","apal1257","mame ɨrokokoro ituimano t-oɨto-se, takɨimano","mame ɨrokokoro ituimano t-oɨto-se, takɨimano","then next.day I. CPL-go-CPL T.","Then the next day Ituimano went, Takyimano.","koehn1986apalai[37]","","","","","X X X X-X-X X"
"apa-30","apal1257","irukaira t-aro-se t-ɨmeretamu-ru, irukaira","irukaira t-aro-se t-ɨmeretamu-ru, irukaira","I. CPL-take-CPL COR-father.in.law-PERT I.","He took Irukaira, his father-in-law.","koehn1986apalai[38]","","","","","X X-X-X X-X-X X"
"apa-31","apal1257","paruru enepɨ-ase jake tomo, i-pɨ-tɨ maro","paruru enepɨ-ase jake tomo, i-pɨ-tɨ maro","banana bring-REC J. 3PL 3-wife-PERT with","Jake's group including his wife brought bananas.","koehn1986apalai[38]","","","","","X X-X X X X-X-X X"
"apa-32","apal1257","t-oɨto-se nɨʔ-se iporirɨ kuaka, apu eukuru kuaka","t-oɨto-se nɨʔ-se iporirɨ kuaka, apu eukuru kuaka","CPL-go-CPL sleep-SUP creek LOC A. drink LOC","He went to sleep at the creek, at the Assai drink creek.","koehn1986apalai[38]","","","","","X-X-X X-X X X X X X"
"apa-34","apal1257","te se-ino inikaʔpo-ino aoriʔ-tɨã tapɨi-Ṽ kɨn-eʃi-ne mãka mɨʔto","te se-ino inikaʔpo-ino aoriʔ-tɨã tapɨi-Ṽ kɨn-eʃi-ne mãka mɨʔto","DM there-from up.river-from deceased-NMLZ house-PERT 3-be-REM mango at.foot.of","Over there, up river, was the deceased one's house beneath the mango tree.","koehn1986apalai[38]","","","","","X X-X X-X X-X X-X X-X-X X X"
"apa-35","apal1257","otɨ ropa, monoʔne tõkeʔko, otɨ keʔ moro, ɨ̃ pape moroʔne poko at-amorepa-Ṽko","otɨ ropa, monoʔne tõkeʔko, otɨ keʔ moro, ɨ̃ pape moroʔne poko at-amorepa-Ṽko","what again that.kind PL what POL MED.DEM.SG.INAN yes paper that.kind about REFL-teach-CONT","What next, all those things, what do you call them, studying paper and all those things.","koehn1986apalai[39]","","","","","X X X X X X X X X X X X-X-X"
"apa-36","apal1257","tawapaira t-aro-se to-kono urakana-se","tawapaira t-aro-se to-kono urakana-se","T. CPL-take-CPL COR-brother.in.law hunt-SUP","He took Tawapaira his brother-in-law to hunt.","koehn1986apalai[39]","","","","","X X-X-X X-X X-X"
"apa-37","apal1257","arimi wo-ʔpo ase t-ɨka-se ɨ-meretamu-ru zopa-ʔpono","arimi wo-ʔpo ase t-ɨka-se ɨ-meretamu-ru zopa-ʔpono","monkey kill-PST.NMLZ l.be.PRS CPL-say-CPL 1-father.in.law-PERT feed-PST.NMLZ","“I am a monkey killer” he said, “one who provides for my father-in-law”.","koehn1986apalai[39]","","","","","X X-X X X-X-X X-X-X X-X"
"apa-38","apal1257","mame tokare pɨra t-osa-rɨ t-akoʔ-se. akoʔ-ko opomo-ko paruru arika-ko","mame tokare pɨra t-osa-rɨ t-akoʔ-se. akoʔ-ko opomo-ko paruru arika-ko","then openly NEG COR-place-PERT CPL-cut-CPL cut-HIST plant.manioc-HIST banana plant-HIST","Then secretly he cut himself a field. He cleared it, planted manioc and he planted bananas.","koehn1986apalai[39]","","","","","X X X X-X-X X-X-X X-X X-X X X-X"
"apa-39","apal1257","t-ɨse apori-rɨ enaʔka-se raʔkene. enaʔka-se enaʔka-se enaʔka-se t-onaʔka-se moro","t-ɨse apori-rɨ enaʔka-se raʔkene. enaʔka-se enaʔka-se enaʔka-se t-onaʔka-se moro","COR-mother.POSS feather-PERT use.up-PST.CONT really use.up-PST.CONT use.up-PST.CONT use.up-PST.CONT CPL-use.up-CPL MED.DEM.SG.INAN","He really used up his mother's feathers. He used them and used them and used them till they were used up.","koehn1986apalai[40]","","","","","X-X X-X X-X X X-X X-X X-X X-X-X X"
"apa-40","apal1257","mokɨro i-nipo pekã pekã pekã pekã tiwi","mokɨro i-nipo pekã pekã pekã pekã tiwi","MED.DEM.SG.ANIM 3-husband.POSS flap flap flap flap catch.on","Her husband flapped (his wings, clumsily flying) then caught on (to the landing place with his beak).","koehn1986apalai[40]","","","","","X X-X X X X X X"
"apa-41","apal1257","oeʔ-no papa, u-mũku-ru pɨre apori-rɨ poko","oeʔ-no papa, u-mũku-ru pɨre apori-rɨ poko","1.come-IMM father 1-son-PERT arrow.POSS feathers-PERT occupied.with","I've come father, to get feathers for my son's arrows.","koehn1986apalai[40]","","","","","X-X X X-X-X X X-X X"
"apa-42","apal1257","u-mũku-ru t-ɨpɨre apori-rɨ poko n-ase","u-mũku-ru t-ɨpɨre apori-rɨ poko n-ase","1-son-PERT COR-arrow.POSS feathers-PERT occupied.with 3-be.HOD","My son has been occupied with making arrows.","koehn1986apalai[40]","","","","","X-X-X X-X X-X X X-X"
"apa-43","apal1257","j-uʔpotɨ enaʔka-Ṽko","j-uʔpotɨ enaʔka-Ṽko","1-feathers.POSS use.up-CONT","He is using up all my feathers.","koehn1986apalai[40]","","","","","X-X X-X"
"apa-44","apal1257","naeroro oj-a oeʔ-no","naeroro oj-a oeʔ-no","so 2-OBL 1.come-IMM","That's why I've come to you.","koehn1986apalai[41]","","","","","X X-X X-X"
"apa-46","apal1257","papa tõ kṼ-ɨto-ne paraʔta zupi-se repe. taro-ino kṼ-ɨto-ne toto kãpo pona","papa tõ kṼ-ɨto-ne paraʔta zupi-se repe. taro-ino kṼ-ɨto-ne toto kãpo pona","father 3PL 3-go-REM rubber look.for-SUP FRUST. here-from 3-go-REM 3PL airstrip ALL","Father and (his) group went to look for rubber. From here they went to the airstrip.","koehn1986apalai[41]","","","","","X X X-X-X X X-X X X-X X-X-X X X X"
"apa-47","apal1257","õko wo-ne toto. papa kɨn-uo-ne","õko wo-ne toto. papa kɨn-uo-ne","wild.turkey kill-REM PL father 3-kill-REM","They killed a wild turkey. Father killed it.","koehn1986apalai[41]","","","","","X X-X X X X-X-X"
"apa-48","apal1257","zuaro=ʔko pɨra ase. enaroro zuaro na. ekaro-Ṽko rokẽ toʔ mon-eʃi-ano","zuaro=ʔko pɨra ase. enaroro zuaro na. ekaro-Ṽko rokẽ toʔ mon-eʃi-ano","3.know=quite NEG 1.be.PRS 3PL 3.now 3.be.PRS tell-CONT only 3PL 3-be-REC.CONT","I didn't witness it. They know it (firsthand). They were telling it (to me).","koehn1986apalai[42]","","","","","X=X X X X X X X-X X X X-X-X"
"apa-50","apal1257","mame pokõ pokõ pokõ pokõ kae-ʔʃo repe wewe po toto","mame pokõ pokõ pokõ pokõ kae-ʔʃo repe wewe po toto","then flap flap flap flap high-more FRUST tree LOC 3PL","Then away they flew quite high up in a tree.","koehn1986apalai[42]","","","","","X X X X X X-X X X X X"
"apa-51","apal1257","mokɨro kurumu ke tɨ-pɨ-e raʔkene","mokɨro kurumu ke tɨ-pɨ-e raʔkene","MED.DEM.SG.ANIM vulture INS CPL-wife-CPL really","This man married a vulture woman.","koehn1986apalai[43]","","","","","X X X X-X-X X"
"apa-52","apal1257","morarame a-orɨʃi-rɨ morara t-ɨka-se o-ekɨ-ʔʃo ʔna otɨro kɨrɨ̃kɨrɨ-Ṽko ʔʃo, otɨro kutikutima-Ṽko tõsẽ poko ʔʃo","morarame a-orɨʃi-rɨ morara t-ɨka-se o-ekɨ-ʔʃo ʔna otɨro kɨrɨ̃kɨrɨ-Ṽko ʔʃo, otɨro kutikutima-Ṽko tõsẽ poko ʔʃo","then 3-sister-PERT thus CPL-say-CPL 2-pet-ints 3.be.PRS plant.food get.into-CONT INTS plant.food mess-CONT meat occupied.with INTS","It started with a complaint from his sister: “Your pet bird keeps messing in the food I'm fixing.”","koehn1986apalai[43]","","","","","X X-X-X X X-X-X X-X-X X X X-X X X X-X X X X"
"apa-53","apal1257","mame t-okare pɨra t-osa-rɨ t-akoʔ-se","mame t-okare pɨra t-osa-rɨ t-akoʔ-se","then ADJZ-tell NEG CPL-cut-CPL CPL-cut-CPL","Then without telling (anyone), he made a clearing.","koehn1986apalai[43]","","","","","X X-X X X-X-X X-X-X"
"apa-54","apal1257","akoʔ-ko opomo-ko paruru arɨka-ko","akoʔ-ko opomo-ko paruru arɨka-ko","cut-HIST plan(manioc)-HIST banana plant-HIST","He cut it down, planted manioc and planted bananas.","koehn1986apalai[43]","","","","","X-X X-X X X-X"
"apa-61","apal1257","otɨ ka-toʔ o-n-epekaʔ-ta-no","otɨ ka-toʔ o-n-epekaʔ-ta-no","what do-PURP 2-DETRZ-buy-DETRZ-IMM","Why did you shop?","koehn1986apalai[44]","","","","","X X-X X-X-X-X-X"
"apa-62","apal1257","t-õʃi-rɨ z-uru-Ṽko kɨn-ako","t-õʃi-rɨ z-uru-Ṽko kɨn-ako","COR-daughter-PERT 3-tell-CONT 3-be.HOD","He was talking to his own daughter.","koehn1986apalai[45]","","","","","X-X-X X-X-X X-X"
"apa-63","apal1257","tɨ-tapɨi-Ṽ taka t-oɨto-se ropa ɨnororo, nɨʔ-se","tɨ-tapɨi-Ṽ taka t-oɨto-se ropa ɨnororo, nɨʔ-se","COR-house-PERT ALL CPL-go-CPL again 3SG.ANIM sleep-SUP","He went b ack to his own house to sleep.","koehn1986apalai[45]","","","","","X-X-X X X-X-X X X X-X"
"apa-64","apal1257","t-urui tupi poko eroʔ-nõko mokɨro","t-urui tupi poko eroʔ-nõko mokɨro","COR-elder.brother.POSS field.POSS occupied.with work-CONT MED.DEM.SG.ANIM","He is working at his elder brother's field.","koehn1986apalai[45]","","","","","X-X X X X-X X"
"apa-65","apal1257","t-ɨka-se tɨɨ-a rokene","t-ɨka-se tɨɨ-a rokene","CPL-say-CPL COR-to only","He said (it) to himself.","koehn1986apalai[45]","","","","","X-X-X X-X X"
"apa-66","apal1257","t-ope a tṼ-ot-uru-po-se","t-ope a tṼ-ot-uru-po-se","COR-friend.POSS to CPL-REFL-tell-CAUS-CPL","He questioned his own friend.","koehn1986apalai[45]","","","","","X-X X X-X-X-X-X"
"apa-67","apal1257","t-õʃi-rɨ maro t-oɨto-se","t-õʃi-rɨ maro t-oɨto-se","COR-daughter-PERT with CPL-go-CPL","He went with his own daughter.","koehn1986apalai[45]","","","","","X-X-X X X-X-X"
"apa-68","apal1257","berẽ pona t-oɨto-se konoʔno, poeto me t-ɨpɨ-tɨ a-ʔtao","berẽ pona t-oɨto-se konoʔno, poeto me t-ɨpɨ-tɨ a-ʔtao","B. ALL CPL-go-CPL brother.in.law child DENMLZ COR-wife-PERT be-when","My brother-in-law went to Belem when his wife was a child.","koehn1986apalai[45]","","","","","X X X-X-X X X X X-X-X X-X"
"apa-69","apal1257","t-ɨkana-rɨ nerɨ-topo-Ṽpɨ-rɨ pona ɨto-Ṽko mana","t-ɨkana-rɨ nerɨ-topo-Ṽpɨ-rɨ pona ɨto-Ṽko mana","COR-canoe-PERT sink-NMLZ.place-PST-PERT ALL go-CONT 3.be.PRS","He is going to the place where his canoe sank.","koehn1986apalai[45]","","","","","X-X-X X-X-X-X X X-X X"
"apa-70","apal1257","ɨto-Ṽko mokɨro mana t-õʃi-rɨ ene-se","ɨto-Ṽko mokɨro mana t-õʃi-rɨ ene-se","go-CONT MED.DEM.SG.ANIM 3.be.PRS COR-daughter-PERT see-SUP","That one is going to see his (own) daughter.","koehn1986apalai[46]","","","","","X-X X X X-X-X X-X"
"apa-71","apal1257","t-ɨpɨ-tɨ zuru-keʔ ʃĩpo oeʔ-nõko ropa mana","t-ɨpɨ-tɨ zuru-keʔ ʃĩpo oeʔ-nõko ropa mana","COR-wife-PERT tell-CESS first come-CONT back 3.be.PRS","When he finishes talking to his wife he will come back.","koehn1986apalai[46]","","","","","X-X-X X-X X X-X X X"
"apa-72","apal1257","t-okɨ zupi-rɨ-me oeʔ-nõko ropa mana","t-okɨ zupi-rɨ-me oeʔ-nõko ropa mana","COR-pet.POSS look-NMLZ-DENMLZ come-CONT back 3.be.PRS","He will be coming back looking for his pet.","koehn1986apalai[46]","","","","","X-X X-X-X X-X X X"
"apa-73","apal1257","irukaira t-aro-se t-ɨmeretamu-ru","irukaira t-aro-se t-ɨmeretamu-ru","I. CPL-take-CPL COR-father.in.law-PERT","His father-in-law, Irukaira, was taken (by him).","koehn1986apalai[46]","","","","","X X-X-X X-X-X"
"apa-74","apal1257","eropa, õmɨ aro-ko, t-ɨka-se t-ɨpɨ-tɨ a","eropa, õmɨ aro-ko, t-ɨka-se t-ɨpɨ-tɨ a","go.IMP.1+2 2.father.POSS take-IMP CPL-say-CPL COR-wife-PERT to","“Le't go! And take your father”, he said to his wife.","koehn1986apalai[46]","","","","","X X X-X X-X-X X-X-X X"
"apa-76","apal1257","seromaroro at-amorepa-Ṽko ropa mose mero-toʔ-me tɨɨ-a","seromaroro at-amorepa-Ṽko ropa mose mero-toʔ-me tɨɨ-a","now COR-teach-CONT again PROX.DEM.SG.ANIM write-NMLZ-DENMLZ COR-by","Now this person is studying again to write on paper himself.","koehn1986apalai[47]","","","","","X X-X-X X X X-X-X X-X"
"apa-77","apal1257","poeto-me t-a-ʔtao tũpa kɨn-epuru-ne","poeto-me t-a-ʔtao tũpa kɨn-epuru-ne","child-DENMLZ COR-be-when T. 3-sting-REM","When she was a child Tũpa was initiated (stund with ants).","koehn1986apalai[47]","","","","","X-X X-X-X X X-X-X"
"apa-78","apal1257","mame kajama epekaʔ-se n-oeʔ-no omise t-oeʃi-rɨ-ke","mame kajama epekaʔ-se n-oeʔ-no omise t-oeʃi-rɨ-ke","then manioc.meal buy-SUP 3-come-IMM hungry COR-be-NMLZ-because","Then he came to buy manioc meal because he was hungry.","koehn1986apalai[47]","","","","","X X X-X X-X-X X X-X-X-X"
"apa-80","apal1257","t-anɨ̃-se kɨmoro eɨ-a","t-anɨ̃-se kɨmoro eɨ-a","CPL-lift-CPL 1+2.PRO 3-by","We were lifted up by him.","koehn1986apalai[47]","","","","","X-X-X X X-X"
"apa-81","apal1257","ituimano n-ɨto-no","ituimano n-ɨto-no","I. 3-go-IMM","Ituimano has gone.","koehn1986apalai[47]","","","","","X X-X-X"
"apa-83","apal1257","mame ɨna t-aomika-se toto a, noʔpo tomo a roropa","mame ɨna t-aomika-se toto a, noʔpo tomo a roropa","then 1+3 CPL-greet-CPL 3PL by woman group by also","Then they all greeted us, the women folk also.","koehn1986apalai[48]","","","","","X X X-X-X X X X X X X"
"apa-84","apal1257","aimo a t-aro-se, u-mũku-ru a","aimo a t-aro-se, u-mũku-ru a","boy by CPL-take-CPL 1-son-PERT by","It was taken by the boy, by my son.","koehn1986apalai[48]","","","","","X X X-X-X X-X-X X"
"apa-85","apal1257","moroto-ino t-ɨarakaʔ-se t-okɨ","moroto-ino t-ɨarakaʔ-se t-okɨ","that-after CPL-cage-CPL COR-pet.POSS","After that, he caged his pet.","koehn1986apalai[48]","","","","","X-X X-X-X X-X"
"apa-86","apal1257","mame t-ɨaramarĩ t-ou-se","mame t-ɨaramarĩ t-ou-se","then COR-feather.suit.POSS CPL-remove-CPL","Then she removed her feather suit.","koehn1986apalai[48]","","","","","X X-X X-X-X"
"apa-87","apal1257","moroto-ino t-õnuʔ-se toʔ mana","moroto-ino t-õnuʔ-se toʔ mana","that-after CPL-go.up-CPL 3PL 3.be.PRS","After that they are gone up.","koehn1986apalai[48]","","","","","X-X X-X-X X X"
"apa-88","apal1257","t-onaʔ-se-mɨ","t-onaʔ-se-mɨ","CPL-eat-CPL-?","edible vegetable to be eaten","koehn1986apalai[49]","","","","","X-X-X-X"
"apa-89","apal1257","t-akoʔ-se-mɨ","t-akoʔ-se-mɨ","CPL-cut-CPL-?","jungle to be cut down","koehn1986apalai[49]","","","","","X-X-X-X"
"apa-90","apal1257","t-ooriʔ-se","t-ooriʔ-se","CPL-die-CPL","It died.","koehn1986apalai[49]","","","","","X-X-X"
"apa-91","apal1257","t-ooriʔ-se kɨn-eʃi-ne","t-ooriʔ-se kɨn-eʃi-ne","CPL-die-CPL 3-be-REM","It was dead.","koehn1986apalai[49]","","","","","X-X-X X-X-X"
"apa-92","apal1257","t-õ-se","t-õ-se","CPL-eat-CPL","He ate it (meat).","koehn1986apalai[49]","","","","","X-X-X"
"apa-93","apal1257","t-õ-se kɨn-eʃi-ne","t-õ-se kɨn-eʃi-ne","CPL-eat-CPL 3-be-REM","It was eaten.","koehn1986apalai[49]","","","","","X-X-X X-X-X"
"apa-94","apal1257","t-ooeʔ-se","t-ooeʔ-se","CPL-come-CPL","He came.","koehn1986apalai[49]","","","","","X-X-X"
"apa-95","apal1257","t-one-se","t-one-se","CPL-see-CPL","seen","koehn1986apalai[49]","","","","","X-X-X"
"apa-96","apal1257","t-uenikeʔ-se","t-uenikeʔ-se","CPL-forget-CPL","forgotten","koehn1986apalai[49]","","","","","X-X-X"
"apa-97","apal1257","t-anorɨ-se","t-anorɨ-se","CPL-dry-CPL","dried","koehn1986apalai[49]","","","","","X-X-X"
"apa-98","apal1257","poeto otuʔ-nõko mana","poeto otuʔ-nõko mana","child eat-CONT 3.be.PRS","The child is eating.","koehn1986apalai[50]","","","","","X X-X X"
"apa-99","apal1257","poeto otuʔ-ma-Ṽko mana","poeto otuʔ-ma-Ṽko mana","child eat-CAUS-CONT 3.be.PRS","He is feeding the child.","koehn1986apalai[50]","","","","","X X-X-X X"
"apa-100","apal1257","nɨʔ-nõko mana","nɨʔ-nõko mana","sleep-CONT 3.be.PRS","He is sleeping.","koehn1986apalai[50]","","","","","X-X X"
"apa-101","apal1257","poeto nɨʔ-ma-Ṽko mana","poeto nɨʔ-ma-Ṽko mana","child sleep-CAUS-CONT 3.be.PRS","He is putting the child to sleep.","koehn1986apalai[50]","","","","","X X-X-X X"
"apa-102","apal1257","tapɨi tae nu-tũta-no","tapɨi tae nu-tũta-no","house out.of 3-leave-IMM","He left the house.","koehn1986apalai[50]","","","","","X X X-X-X"
"apa-103","apal1257","tapɨi tae nu-tũta-noʔpo-no","tapɨi tae nu-tũta-noʔpo-no","house out.of 3-leave-CAUS-IMM","He caused him to leave.","koehn1986apalai[50]","","","","","X X X-X-X-X"
